Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,29
2001,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,28
2002,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,29
2003,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,28
2004,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,31
2005,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,36
2006,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,41
2007,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,43
2008,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,44
2009,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,45
2010,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,46
2011,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,52
2012,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,54
2013,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,53
2014,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,53
2015,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,53
2016,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,55
2017,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,56
2018,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,54
2019,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,52
2020,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,49
2021,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,53
2022,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,57
2023,A,0,"WHO Global Health Observatory (GHO),December 2025 update",SH_ACS_UNHC_25,404,IX,2025-12-03T00:00:00,2023,57
