Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,BASE_PER,Value
2018,A,0,Kenya National Bureau of Statistics,EN_MWT_COLLV,404,None,None,T,2025-03-21T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1226680.0
2019,A,0,Kenya National Bureau of Statistics,EN_MWT_COLLV,404,None,None,T,2025-03-21T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1456795.2
2020,A,0,Kenya National Bureau of Statistics,EN_MWT_COLLV,404,None,None,T,2025-03-21T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1969100.0
2021,A,0,Kenya National Bureau of Statistics,EN_MWT_COLLV,404,None,None,T,2025-03-21T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,2354600.0
2014,A,0,Kenya National Bureau of Statistics,EN_MWT_GENV,404,None,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,732877.7
2015,A,0,Kenya National Bureau of Statistics,EN_MWT_GENV,404,None,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,772355.9
2016,A,0,Kenya National Bureau of Statistics,EN_MWT_GENV,404,None,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1783122.2
2017,A,0,Kenya National Bureau of Statistics,EN_MWT_GENV,404,None,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1739634.1
2018,A,0,Kenya National Bureau of Statistics,EN_MWT_GENV,404,None,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1836171.7
2019,A,0,Kenya National Bureau of Statistics,EN_MWT_GENV,404,None,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,2194247.0
2020,A,0,Kenya National Bureau of Statistics,EN_MWT_GENV,404,None,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,3109500.0
2021,A,0,Kenya National Bureau of Statistics,EN_MWT_GENV,404,None,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,3450500.0
2014,A,0,Kenya National Bureau of Statistics,EN_MWT_TREATV,404,WT_LANDFIL,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,330981.0
2015,A,0,Kenya National Bureau of Statistics,EN_MWT_TREATV,404,WT_LANDFIL,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,281989.2
2016,A,0,Kenya National Bureau of Statistics,EN_MWT_TREATV,404,WT_LANDFIL,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1157119.5
2017,A,0,Kenya National Bureau of Statistics,EN_MWT_TREATV,404,WT_LANDFIL,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1079035.0
2018,A,0,Kenya National Bureau of Statistics,EN_MWT_TREATV,404,WT_LANDFIL,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1226680.0
2019,A,0,Kenya National Bureau of Statistics,EN_MWT_TREATV,404,WT_LANDFIL,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1456795.2
2020,A,0,Kenya National Bureau of Statistics,EN_MWT_TREATV,404,WT_LANDFIL,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,1969100.0
2021,A,0,Kenya National Bureau of Statistics,EN_MWT_TREATV,404,WT_LANDFIL,None,T,2025-10-23T00:00:00,2021,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,2354600.0
2017,A,0,Kenya National Bureau of Statistics,EN_TWT_GENV,404,None,ISIC4_B,T,2025-10-23T00:00:00,2017,"Data refers to solid waste.Source: Census of Industrial Production, 2017.",,8253.0
2017,A,0,Kenya National Bureau of Statistics,EN_TWT_GENV,404,None,ISIC4_C,T,2025-10-23T00:00:00,2017,"Data refers to solid waste.Source: Census of Industrial Production, 2017.",,712860625.0
2017,A,0,Kenya National Bureau of Statistics,EN_TWT_GENV,404,None,ISIC4_D,T,2025-10-23T00:00:00,2017,"Source: Census of Industrial Production, 2017.Environmental Statistics Report for Iraq for the year 2013 / Source: Ministry of Municipalities and Public Works and the Municipality of Baghdad (except for the Kurdistan Region).",,405.0
2017,A,0,Kenya National Bureau of Statistics,EN_TWT_GENV,404,None,ISIC4_F,T,2025-10-23T00:00:00,2017,"Data refers to solid waste.Source: Census of Industrial Production, 2017.",,9891700.2
