Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-03-05T00:00:00,2009,97.78745
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-03-05T00:00:00,2009,95.03996
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-03-05T00:00:00,2009,97.19664
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-03-05T00:00:00,2009,92.34262
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,41.69907
2001,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,46.43482
2002,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,48.00056
2003,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,64.43833
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,70.02484
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,70.61733
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,70.57655
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,70.98384
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,74.10968
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,77.3378
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,80.61548
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-03-05T00:00:00,2014,82.32446
2003,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_1,PT,2025-03-05T00:00:00,2009,98.69199
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_1,PT,2025-03-05T00:00:00,2009,98.80114
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_1,PT,2025-03-05T00:00:00,2009,98.91325
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_1,PT,2025-03-05T00:00:00,2009,99.43491
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_1,PT,2025-03-05T00:00:00,2009,98.69642
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_1,PT,2025-03-05T00:00:00,2009,98.41615
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_1,PT,2025-03-05T00:00:00,2009,96.80731
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_2,PT,2025-03-05T00:00:00,2009,98.634
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_2,PT,2025-03-05T00:00:00,2009,98.91307
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_2,PT,2025-03-05T00:00:00,2009,99.43553
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_2,PT,2025-03-05T00:00:00,2009,98.69772
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_2,PT,2025-03-05T00:00:00,2009,98.41596
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,404,None,ISCED11_2,PT,2025-03-05T00:00:00,2009,96.80629
