Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,OCCUPATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2019,50.13
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2019,100.1
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2019,81.3
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2019,391.67
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2019,286.49
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2019,481.8
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2019,174.49
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2019,244.42
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2019,81.98
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2019,242.21
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_4,CUR_LCU,2025-03-15T00:00:00,2019,67.02
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_4,CUR_LCU,2025-03-15T00:00:00,2019,270.65
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_5,CUR_LCU,2025-03-15T00:00:00,2019,29.08
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_5,CUR_LCU,2025-03-15T00:00:00,2019,62.38
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_6,CUR_LCU,2025-03-15T00:00:00,2019,14.91
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_6,CUR_LCU,2025-03-15T00:00:00,2019,29.42
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_7,CUR_LCU,2025-03-15T00:00:00,2019,34.34
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_7,CUR_LCU,2025-03-15T00:00:00,2019,78.52
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_8,CUR_LCU,2025-03-15T00:00:00,2019,47.3
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_8,CUR_LCU,2025-03-15T00:00:00,2019,62.81
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_9,CUR_LCU,2025-03-15T00:00:00,2019,21.22
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_9,CUR_LCU,2025-03-15T00:00:00,2019,29.36
2005,U,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,SL_EMP_EARN,404,None,Y_GE15,ISCO08_X,CUR_LCU,2025-03-15T00:00:00,2005,9.4
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2019,47.87
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2019,94.77
2005,U,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2019,69.44
2019,U,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2019,634.0
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2019,248.52
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2019,332.35
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2019,182.07
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2019,210.84
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2019,75.91
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2019,157.87
2005,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_4,CUR_LCU,2025-03-15T00:00:00,2019,70.86
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,SL_EMP_EARN,404,F,Y_GE15,ISCO08_4,CUR_LCU,2025-03-15T00:00:00,2019,214.33
