Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.104572
2014,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.095361
2015,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.092028
2016,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.081435
2017,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.083336
2018,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.089012
2019,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.088091
2020,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.069491
2021,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.079508
2022,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.088141
2023,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.068782
2000,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.046679
2001,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.049797
2002,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.048706
2003,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.047891
2004,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.048041
2005,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.054145
2006,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.058426
2007,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.063039
2008,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.067369
2009,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.079997
2010,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.078353
2011,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.080141
2012,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.087267
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.086211
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.096461
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.096216
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.087069
2017,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.092875
2018,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.087732
2019,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.091375
2020,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.086366
2021,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.086622
2022,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.082498
2023,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.076625
