Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,None,NUMBER,2025-03-13T00:00:00,2018,143.0
2015,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,None,NUMBER,2025-03-13T00:00:00,2018,318.0
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,None,NUMBER,2025-03-13T00:00:00,2018,187.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,None,NUMBER,2025-03-13T00:00:00,2018,352.0
2018,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,None,NUMBER,2025-03-13T00:00:00,2018,283.0
2014,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2017,143.0
2015,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2017,318.0
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2017,187.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2017,352.0
2014,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,F,None,NUMBER,2025-03-13T00:00:00,2017,143.0
2015,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,404,F,None,NUMBER,2025-03-13T00:00:00,2017,309.0
