Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,42.3434555530548
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,74.6578335762024
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,81.5675675868988
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,79.1951596736908
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,2021,19.4357648491859
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,2021,64.1663789749146
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,2021,67.4084961414337
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,2021,61.017245054245
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,2021,62.8216922283173
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,2021,85.7294201850891
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,2021,91.5533721446991
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,2021,88.2125496864319
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,2021,19.4351524114609
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,2021,63.1689012050629
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,2021,70.4534828662872
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,2021,67.4495100975037
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,2021,57.5335383415222
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,2021,82.2842955589294
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,2021,88.9394879341125
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,2021,87.0200157165527
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,R,None,None,PT,2024-05-08T00:00:00,2021,74.992972612381
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE15,U,None,None,PT,2024-05-08T00:00:00,2021,89.4493639469147
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE25,None,None,None,PT,2024-05-08T00:00:00,2021,43.5345768928528
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE25,None,None,None,PT,2024-05-08T00:00:00,2021,78.8519501686096
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE25,None,None,None,PT,2024-05-08T00:00:00,2021,84.1128945350647
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y_GE25,None,None,None,PT,2024-05-08T00:00:00,2021,79.5015215873718
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y15T24,None,None,None,PT,2024-05-08T00:00:00,2021,40.2718544006348
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y15T24,None,None,None,PT,2024-05-08T00:00:00,2021,66.3569986820221
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y15T24,None,None,None,PT,2024-05-08T00:00:00,2021,76.0208904743195
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,None,Y15T24,None,None,None,PT,2024-05-08T00:00:00,2021,78.9132237434387
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,39.1788065433502
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,71.134477853775
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,77.7463674545288
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,75.3574311733246
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,45.6456422805786
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,78.6579012870789
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,85.8360946178436
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,404,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,83.2449972629547
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_ILF,404,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,77.52531
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_ILF,404,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,86.87199
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_ILF,404,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,84.26619
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_OLF,404,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,2021,61.55646
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_OLF,404,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,2021,58.67352
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_OLF,404,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,2021,57.50208
