Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,404,None,None,PT,2024-05-16T00:00:00,2010-2021,,51.92596
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,404,None,None,PT,2024-05-16T00:00:00,2010-2021,,52.39462
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,404,None,None,PT,2024-05-16T00:00:00,2010-2021,,52.3709
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,404,None,None,PT,2024-05-16T00:00:00,2010-2021,,47.49166
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,404,None,None,PT,2024-05-16T00:00:00,2010-2021,,50.52691
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,None,None,T,2024-05-16T00:00:00,2010-2021,,7266.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,None,None,T,2024-05-16T00:00:00,2010-2021,,7669.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,None,None,T,2024-05-16T00:00:00,2010-2021,,7941.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,None,None,T,2024-05-16T00:00:00,2010-2021,,7403.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,None,None,T,2024-05-16T00:00:00,2010-2021,,8055.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C104,None,T,2024-05-16T00:00:00,2010-2022,Myanmar,623.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C104,None,T,2024-05-16T00:00:00,2010-2022,Myanmar,649.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C104,None,T,2024-05-16T00:00:00,2010-2022,Myanmar,703.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C104,None,T,2024-05-16T00:00:00,2010-2022,Myanmar,723.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C104,None,T,2024-05-16T00:00:00,2010-2022,Myanmar,860.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C104,None,T,2024-05-16T00:00:00,2010-2022,Myanmar,844.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C116,None,T,2024-05-16T00:00:00,2010-2020,Cambodia,2.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C144,None,T,2024-05-16T00:00:00,2010-2022,Sri Lanka,284.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C144,None,T,2024-05-16T00:00:00,2010-2022,Sri Lanka,312.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C144,None,T,2024-05-16T00:00:00,2010-2022,Sri Lanka,336.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C144,None,T,2024-05-16T00:00:00,2010-2022,Sri Lanka,394.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C144,None,T,2024-05-16T00:00:00,2010-2022,Sri Lanka,359.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C144,None,T,2024-05-16T00:00:00,2010-2022,Sri Lanka,270.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C156,None,T,2024-05-16T00:00:00,2010-2022,China,3.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C156,None,T,2024-05-16T00:00:00,2010-2022,China,3.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C156,None,T,2024-05-16T00:00:00,2010-2022,China,3.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,404,C156,None,T,2024-05-16T00:00:00,2010-2022,China,4.0
