Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,12.25
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,11.91
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,11.86
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,12.21
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,12.13
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,11.99
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,11.99
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,11.71
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,11.81
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.49
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.24
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.5
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.09
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.2
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.89
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.98
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.75
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.46
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.27
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.05
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.05
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.03
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,8.83
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,8.53
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,404,ISIC4_C,PT,2025-02-26T00:00:00,2024,8.41
2000,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,13.47
2001,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,12.85
2002,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,12.91
2003,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,12.76
2004,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,13.14
2005,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,13.84
2006,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,13.51
2007,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,13.61
2008,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,12.88
2009,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,11.49
2010,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,11.16
2011,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,12.05
2012,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,11.01
2013,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,10.91
2014,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,10.07
2015,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.98
2016,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.32
2017,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.74
2018,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.41
2019,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.9
