Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2022,A,0,UNSD,EN_WWT_GEN,404,None,M_M3_PER_YR,2024-03-16T00:00:00,2017,,1775.9
2022,A,0,UNSD,EN_WWT_GEN,404,ISIC4_B,M_M3_PER_YR,2024-03-16T00:00:00,2017,,0.6
2022,A,0,UNSD,EN_WWT_GEN,404,ISIC4_BTFXE,M_M3_PER_YR,2024-03-16T00:00:00,2017,,1703.4
2022,A,0,UNSD,EN_WWT_GEN,404,ISIC4_C,M_M3_PER_YR,2024-03-16T00:00:00,2017,,1617.3
2022,A,0,UNSD,EN_WWT_GEN,404,ISIC4_F,M_M3_PER_YR,2024-03-16T00:00:00,2017,,85.4
2022,A,0,UNSD,EN_WWT_TREAT,404,None,M_M3_PER_YR,2024-03-16T00:00:00,2017,,1348.9
2022,A,0,UNSD,EN_WWT_TREATR,404,None,PT,2024-03-16T00:00:00,2017,,75.95591
2022,A,0,WHO 2024,EN_WWT_WWDS,404,None,PT,2025-03-21T00:00:00,2024,,11.36145592
2024,A,0,WHO 2024,EN_WWT_WWDS,404,None,PT,2025-03-21T00:00:00,2024,,11.17656326
