Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,13.76250349
2001,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,14.87146153
2002,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,15.64364175
2003,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,12.55895485
2004,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,15.01437297
2005,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,15.15854884
2006,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,14.8592607
2007,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,14.529018
2008,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,15.56830325
2009,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,14.8043974
2010,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,14.98007317
2011,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,15.39965908
2012,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,16.02857194
2013,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,15.16705304
2014,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,20.44909214
2015,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,20.25164608
2016,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,19.91702563
2017,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,21.5292419
2018,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,19.32229516
2019,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,19.49589347
2020,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,18.22248146
2021,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,17.89201721
2022,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,18.10696018
2023,A,0,General Government Sector,IMF,GR_G14_GDP,404,PT,2025-03-26T00:00:00,2023,18.91339799
2000,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,190864.0
2001,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,218443.0
2002,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,234436.0
2003,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,204004.0
2004,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,270920.0
2005,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,301299.0
2006,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,317855.0
2007,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,359027.0
2008,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,442180.0
2009,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,484939.0
2010,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,538928.0
2011,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,641013.0
2012,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,764113.0
2013,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,805571.0
2014,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,1227730.0
2015,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,1394190.0
2016,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,1512510.0
2017,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,1826410.0
2018,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,1804760.0
2019,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,1995940.0
2020,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,1952370.0
2021,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,2151990.0
2022,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,2420600.0
2023,A,6,General Government Sector,IMF,GR_G14_XDC,404,CUR_LCU,2025-03-26T00:00:00,2023,2862960.0
