Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.29856
2001,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.29856
2002,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.25631
2003,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.24154
2004,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.30392
2005,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.39936
2006,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.50842
2007,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.58627
2008,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.66746
2009,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.69821
2010,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.67422
2011,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.71986
2012,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.79495
2013,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.84259
2014,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.86635
2015,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.85386
2016,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.93744
2017,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.93971
2018,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.97173
2019,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.78166
2020,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.76552
2021,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.4798
2022,A,0,,3.44782,1.65033,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,404,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,2.4798
