Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.97
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.91
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.83
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.75
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.68
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.61
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.56
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.48
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.4
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.32
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.28
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.26
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.24
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.19
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.15
