Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,38.6
2001,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,38.5
2002,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,38.5
2003,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,38.2
2004,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,37.8
2005,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,37.3
2006,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,36.7
2007,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,35.7
2008,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,34.6
2009,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,33.3
2010,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,31.9
2011,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,30.4
2012,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,29.0
2013,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,27.7
2014,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,26.5
2015,A,0,20,16,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,404,None,Y0T4,PT,2025-03-27T00:00:00,2024,25.4
