Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,404,None,None,KM2,2025-03-21T00:00:00,2000-2021,,6254.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,404,None,None,KM2,2025-03-21T00:00:00,2000-2021,,8501.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,404,C02,None,KM2,2025-03-21T00:00:00,2000-2021,Alpine,0.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,404,C02,None,KM2,2025-03-21T00:00:00,2000-2021,Alpine,1.1
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,404,C03,None,KM2,2025-03-21T00:00:00,2000-2021,Montane,974.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,404,C03,None,KM2,2025-03-21T00:00:00,2000-2021,Montane,1308.5
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,404,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,5278.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,404,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,7191.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,404,None,None,PT,2025-03-21T00:00:00,2000-2021,,4.4
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,404,None,None,PT,2025-03-21T00:00:00,2000-2021,,5.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,404,C02,None,PT,2025-03-21T00:00:00,2000-2021,Alpine,0.5
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,404,C02,None,PT,2025-03-21T00:00:00,2000-2021,Alpine,0.6
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,404,C03,None,PT,2025-03-21T00:00:00,2000-2021,Montane,8.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,404,C03,None,PT,2025-03-21T00:00:00,2000-2021,Montane,10.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,404,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,4.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,404,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,5.5
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,2862.7
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,3014.1
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,3073.2
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,3311.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,3778.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,4089.9
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,14057.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,14768.5
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,16352.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,17593.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,17923.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,18142.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,95832.3
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,95291.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,94098.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,93163.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,92482.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,92028.3
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,1189.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,1205.1
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,1221.1
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,1264.9
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,1305.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,1332.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,404,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,136512.2
