Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Continuous household survey,SL_TLF_MANF,404,ISIC4_C,PT,2025-02-27T00:00:00,2019,6.85
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Continuous household survey,SL_TLF_MANF_19ICLS,404,ISIC4_C,PT,2025-02-27T00:00:00,2019,6.63
