Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2023,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,10.25
2016,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,10.03
2017,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,9.39
2018,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,10.75
2019,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,10.91
2020,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,9.39
2021,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,9.92
2022,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,13.32
2023,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,10.48
2016,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,5.95993
2017,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,4.99827
2018,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,6.36322
2019,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,6.32025
2020,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,5.12047
2021,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,5.13
2022,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,3.88333
2023,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,5.39
2020,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C728,PT,2024-03-13T00:00:00,2023,South Sudan,4.98322
