Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,3.46
2005,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,3.03
2006,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,3.0
2007,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,2.9
2008,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,3.1
2009,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,4.72
2010,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,4.63
2011,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,5.31
2012,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,5.41
2014,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,404,None,PER_100000_POP,2025-03-21T00:00:00,2022,5.01
