From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
SOURCE_DETAIL,REF_AREA
REF_AREA,SEX
SEX,AGE
AGE,OCCUPATION
OCCUPATION,COMPOSITE_BREAKDOWN
COMPOSITE_BREAKDOWN,TIME_DETAIL
