Disaggregation,Number of indicators,Number of values
ACTIVITY,11,14
AGE,41,44
BASE_PER,21,6
COMPOSITE_BREAKDOWN,28,126
CUST_BREAKDOWN,9,51
CUST_BREAKDOWN_LB,9,68
DISABILITY_STATUS,1,3
EDUCATION_LEV,6,8
INCOME_WEALTH_QUANTILE,9,9
LOWER_BOUND,21,75
OBS_STATUS,216,7
OCCUPATION,3,20
PRODUCT,7,16
REF_AREA,216,1
SEX,52,3
TIME_DETAIL,216,37
UNIT_MULT,216,4
UPPER_BOUND,21,75
URBANISATION,16,5
