Value,Disaggregation combinations using this value,Number of indicators
ABT2_INSUFNT,1,1
DEG_LOW,1,1
DL_EXTREME,2,1
DL_HIGH,2,1
DL_LOW,2,1
DL_MEDIUM,2,1
FCC_E,1,1
FCC_H,1,1
FCC_M,1,1
FIS_POSTFIS_CON_INC,1,1
FIS_POSTFIS_DIS_INC,1,1
FIS_PREFIS_INC,1,1
FWS_HHS,2,1
FWS_OOHC,2,1
FWS_RTL,2,1
GRD_ETH,2,2
GRD_RELIGION,2,2
GRD_SOCIOECON,2,2
HH_ADTONLY,1,1
HH_ADTWCHLDADO,1,1
HH_ADTWOLDER,1,1
HH_MULTIGEN,1,1
HH_ONLYOLDER,1,1
IHR_01,1,1
IHR_02,1,1
IHR_03,1,1
IHR_04,1,1
IHR_05,1,1
IHR_06,1,1
IHR_07,1,1
IHR_08,1,1
IHR_09,1,1
IHR_10,1,1
IHR_11,1,1
IHR_12,1,1
IHR_13,1,1
IO_AFDB,4,2
IO_ECOSOC,4,2
IO_IBRD,4,2
IO_IFC,4,2
IO_IMF,4,2
IO_UNGA,4,2
IO_UNSC,4,2
IO_WTO,4,2
IS_256KT2M,2,1
IS_2MT10M,2,1
IS_GE10M,2,1
LC_ART,8,1
LC_CRP,8,1
LC_GRS,8,1
LC_IWB,8,1
LC_MGCI,8,1
LC_PSG,8,1
LC_SAF,8,1
LC_SHR,8,1
LC_SNV,8,1
LC_TBL,8,1
LC_TRE,8,1
LG_NAT,1,1
LS_DISSEM,1,1
MOT_AIR,2,1
MOT_SEA,1,1
None,293,17
OFDI_DIRECTCPART,1,1
OFDI_FISFINSUP,1,1
OFDI_INVFACSERV,1,1
OFDI_INVGUA,1,1
PC_FAFF_DEF,3,1
PC_FINANCE,3,1
PC_GEN_EQU,5,1
PC_HUM_RIGH,4,1
PD_1,1,1
PD_2,1,1
PD_3,1,1
PD_4,1,1
PD_5,1,1
PD_6,1,1
POL_MACRO,1,1
SKILL_DLDONLD,16,2
SKILL_FONLCRS,8,1
SKILL_GSPUR,19,2
SKILL_HLTHINF,12,1
SKILL_INTBNK,13,2
SKILL_LTRCY,20,2
SKILL_MATH,4,2
SKILL_READ,4,2
SKILL_SNTWK,16,2
SKILL_VOIP,13,1
SPAR2_C01,1,1
SPAR2_C02,1,1
SPAR2_C03,1,1
SPAR2_C04,1,1
SPAR2_C05,1,1
SPAR2_C06,1,1
SPAR2_C07,1,1
SPAR2_C08,1,1
SPAR2_C09,1,1
SPAR2_C10,1,1
SPAR2_C11,1,1
SPAR2_C12,1,1
SPAR2_C13,1,1
SPAR2_C14,1,1
SPAR2_C15,1,1
SPAR_01,1,1
SPAR_02,1,1
SPAR_03,1,1
SPAR_04,1,1
SPAR_05,1,1
SPAR_06,1,1
SPAR_07,1,1
SPAR_08,1,1
SPAR_09,1,1
SPAR_10,1,1
SPAR_11,1,1
SPAR_12,1,1
SPAR_13,1,1
TRT_BIOENERGY,3,3
TRT_GEOTHERMAL,3,3
TRT_HYDROPOWER,3,3
TRT_MARINE,3,3
TRT_MULTIPLE,1,1
TRT_SOLAR,3,3
TRT_WIND,3,3
WT_INCINRT,1,1
WT_LANDFIL,2,1
WT_OTHERWM,1,1
