Value,Disaggregation combinations using this value,Number of indicators
C01,6,5
C02,27,3
C03,30,5
C04,27,3
C05,5,4
C06,5,4
C07,7,6
C08,5,4
C09,5,4
C10,2,2
C104,1,1
C11,2,2
C116,1,1
C12,2,2
C13,2,2
C14,2,2
C144,1,1
C15,2,2
C156,1,1
C16,2,2
C17,1,1
C175,1,1
C232,1,1
C262,1,1
C356,1,1
C36,1,1
C360,1,1
C364,1,1
C404,1,1
C450,1,1
C458,1,1
C480,1,1
C50,1,1
C508,1,1
C512,1,1
C586,1,1
C608,1,1
C626,1,1
C638,1,1
C646,2,1
C682,1,1
C704,1,1
C706,1,1
C710,1,1
C728,2,1
C729,1,1
C764,1,1
C800,2,1
C834,3,2
C887,1,1
None,38,3
