Indicator,Disaggregation combinations using this value
#1-5-1,5
#1-a-1,1
#1-a-2,4
#10-5-1,6
#10-6-1,10
#10-a-1,6
#10-b-1,1
#10-c-1,10
#11-5-1,5
#11-6-1,1
#12-2-2,48
#12-6-1,3
#12-a-1,7
#13-1-1,5
#14-1-1,1
#14-3-1,2
#15-2-1,1
#15-a-1,1
#15-b-1,1
#16-6-2,3
#16-7-1,2
#16-8-1,10
#17-1-1,2
#17-1-2,1
#17-10-1,12
#17-11-1,4
#17-12-1,12
#17-13-1,18
#17-18-1,2
#17-3-1,5
#17-3-2,1
#17-4-1,1
#17-6-1,8
#17-8-1,1
#17-9-1,1
#2-2-3,3
#2-4-1,4
#2-a-1,3
#2-a-2,1
#2-c-1,1
#3-1-1,1
#3-2-1,12
#3-2-2,2
#3-3-1,13
#3-3-2,1
#3-3-3,1
#3-3-5,1
#3-7-2,2
#3-b-1,4
#3-b-2,2
#3-c-1,7
#3-d-1,15
#4-1-1,6
#4-5-1,2
#4-b-1,1
#5-a-1,4
#5-b-1,3
#6-5-1,5
#6-a-1,1
#7-1-1,3
#7-1-2,3
#7-a-1,8
#7-b-1,7
#8-1-1,1
#8-10-1,2
#8-4-2,48
#8-8-2,1
#8-a-1,2
#9-1-2,1
#9-2-1,1
#9-5-1,1
#9-5-2,1
#9-a-1,1
#9-c-1,4
