Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"KNBS and ICF. 2023. Kenya Demographic and Health Survey 2022. Nairobi, Kenya, and Rockville, Maryland,
USA: KNBS and ICF.",SH_STA_BRTC,404,PT,2025-03-14T00:00:00,2022,42.6
2003,A,0,"KNBS and ICF. 2023. Kenya Demographic and Health Survey 2022. Nairobi, Kenya, and Rockville, Maryland,
USA: KNBS and ICF.",SH_STA_BRTC,404,PT,2025-03-14T00:00:00,2022,41.6
2009,A,0,"KNBS and ICF. 2023. Kenya Demographic and Health Survey 2022. Nairobi, Kenya, and Rockville, Maryland,
USA: KNBS and ICF.",SH_STA_BRTC,404,PT,2025-03-14T00:00:00,2022,43.8
2014,A,0,"KNBS and ICF. 2023. Kenya Demographic and Health Survey 2022. Nairobi, Kenya, and Rockville, Maryland,
USA: KNBS and ICF.",SH_STA_BRTC,404,PT,2025-03-14T00:00:00,2022,61.8
2016,A,0,"KNBS and ICF. 2023. Kenya Demographic and Health Survey 2022. Nairobi, Kenya, and Rockville, Maryland,
USA: KNBS and ICF.",SH_STA_BRTC,404,PT,2025-03-14T00:00:00,2022,70.2
2022,A,0,"KNBS and ICF. 2023. Kenya Demographic and Health Survey 2022. Nairobi, Kenya, and Rockville, Maryland,
USA: KNBS and ICF.",SH_STA_BRTC,404,PT,2025-03-14T00:00:00,2022,89.3
