Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,7460.0
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,8319.0
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,9532.8
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,10386.6
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,11243.2
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,11891.4
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,12577.2
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,12828.7
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,13298.1
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,6403.6
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,7135.0
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,8169.7
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,8894.3
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,9619.5
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,10165.3
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,11031.7
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,11670.7
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,12293.5
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,15.0
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,17.8
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,21.6
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,23.4
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,24.9
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,26.1
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,28.0
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,28.0
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,28.1
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,16.4
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,19.5
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,23.6
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,25.5
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,27.1
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,28.4
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,29.7
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,29.1
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,28.7
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,13.7
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,16.3
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,19.7
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,21.3
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,22.7
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,23.8
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,26.3
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,26.9
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,27.4
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,7063.0
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,8591.2
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,10632.5
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,11728.8
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,12751.3
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,13611.6
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,14902.7
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,15211.3
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,15533.4
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2255.6
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2769.1
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3455.0
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3847.2
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,4225.6
