Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.95
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.8
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,14.13
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.12
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,12.98
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.27
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.58
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.82
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.14
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,12.91
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.19
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.74
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,14.39
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,14.96
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.88
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.47
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.64
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,13.93
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,14.7
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.37
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.03
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.36
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,17.25
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.12
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,404,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.1
