Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,1.4
2010,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,1.6
2011,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,1.9
2012,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,2.1
2013,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,2.5
2014,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,2.9
2015,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,3.3
2016,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,3.9
2017,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,4.5
2018,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,5.3
2019,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,6.2
2020,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,7.3
2021,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,8.5
2022,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,9.8
2023,A,0,21.8,4.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,R,PT,2025-06-18T00:00:00,2023,11.4
2000,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,5.6
2001,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,6.7
