Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,Water Resources Authority,EN_H2O_GRAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,42.18
2020,A,0,Water Resources Authority,EN_H2O_GRAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,90.32
2023,A,0,Water Resources Authority,EN_H2O_GRAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,42.85
2017,A,0,Water Resources Authority,EN_H2O_OPAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,0.0
2020,A,0,Water Resources Authority,EN_H2O_OPAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,33.33
2023,A,0,Water Resources Authority,EN_H2O_OPAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,50.0
2017,A,0,Water Resources Authority,EN_H2O_RVAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,30.52
2020,A,0,Water Resources Authority,EN_H2O_RVAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,90.38
2023,A,0,Water Resources Authority,EN_H2O_RVAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,33.71
2017,A,0,Water Resources Authority,EN_H2O_WBAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,35.5
2020,A,0,Water Resources Authority,EN_H2O_WBAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,86.52
2023,A,0,Water Resources Authority,EN_H2O_WBAMBQ,404,PT,2025-03-25T00:00:00,2020-2023,37.05
