Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,ICAO,IS_RDP_FRGVOL,404,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,275512277
2018,A,0,ICAO,IS_RDP_FRGVOL,404,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,295047760
2019,A,0,ICAO,IS_RDP_FRGVOL,404,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,320952555
2020,A,0,ICAO,IS_RDP_FRGVOL,404,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,113062820
2021,A,0,ICAO,IS_RDP_FRGVOL,404,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,299587420
2022,A,0,ICAO,IS_RDP_FRGVOL,404,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,288621200
2017,A,0,ICAO,IS_RDP_PFVOL,404,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,11053154941
2018,A,0,ICAO,IS_RDP_PFVOL,404,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,11811427976
2019,A,0,ICAO,IS_RDP_PFVOL,404,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,12480408392
2020,A,0,ICAO,IS_RDP_PFVOL,404,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,3416984640
2021,A,0,ICAO,IS_RDP_PFVOL,404,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,3616693650
2022,A,0,ICAO,IS_RDP_PFVOL,404,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,11363842064
2010,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,695600
2011,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,771000
2012,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,903443
2013,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,894000
2014,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1012002
2015,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1076118
2016,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1091000
2017,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1190000
2018,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1306283
2019,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1417000
2020,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1359579
2021,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1435565
2022,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1430000
2023,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,404,MOT_SEA,TEU,2025-03-05T00:00:00,2023,1623080
