Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,34221.0
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,34455.0
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,34732.0
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,35120.0
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,35394.0
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,35563.0
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,35556.0
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,35252.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,34841.0
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,34447.0
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,34293.0
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,34242.0
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,33962.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,33708.0
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,33367.0
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,32722.0
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,32424.0
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,32459.0
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,32373.0
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,404,M0,NUMBER,2025-03-19T00:00:00,2023,32251.0
