Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,-3.24
2001,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,-0.34
2002,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,-3.37
2003,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,-1.02
2004,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,1.11
2005,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,1.93
2006,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,2.65
2007,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,3.18
2008,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,-3.02
2009,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,-0.08
2010,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,4.52
2011,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,1.66
2012,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,1.23
2013,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,0.6
2014,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,1.73
2015,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,1.7
2016,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,0.95
2017,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,4.49
2018,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,6.59
2019,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,6.34
2020,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,-1.42
2021,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,3.96
2022,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,2.27
2023,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,2.63
2024,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,404,Y_GE15,PT,2025-03-15T00:00:00,2024,2.25
