Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2005,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.01508
2006,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.04802
2007,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.04663
2008,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.00837
2009,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.04504
2010,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.01651
2011,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.12663
2012,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.12383
2013,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.16481
2014,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.22109
2015,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.28692
2016,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.27566
2017,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.58601
2018,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.73993
2019,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,0.95929
2020,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,1.29112
2021,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,1.48254
2022,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,1.47647
2023,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,None,PER_100_POP,2025-03-03T00:00:00,2023,,2.38883
2010,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.00998
2011,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.06468
2012,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.07178
2013,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.08192
2014,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.18686
2015,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.0666
2016,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.13468
2017,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.233
2018,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.1947
2019,A,0,Data based on the ITU DataHub,IT_NET_BBND,404,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,,0.02088
