Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-12-04T00:00:00,2023,97.78745
2007,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-12-04T00:00:00,2023,95.03996
2008,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-12-04T00:00:00,2023,97.19664
2009,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-12-04T00:00:00,2023,92.34262
2023,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,AGG_2_3,PT,2025-12-04T00:00:00,2023,100.0
2000,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,41.69907
2001,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,46.43482
2002,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,48.00056
2003,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,64.43833
2004,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,70.02484
2005,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,70.61733
2006,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,70.57655
2007,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,70.98384
2008,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,74.10968
2009,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,77.3378
2012,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,80.61548
2014,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,82.32446
2020,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,100.0
2021,A,0,Source: UIS Dynamic template based on data provided by country Data extracted on 31 October 2025.,SE_TRA_GRDL,404,None,ISCED11_02,PT,2025-12-04T00:00:00,2023,100.0
