Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2013,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,1.7
2014,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,2.16
2015,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,2.45
2016,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,2.54
2017,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,2.47
2018,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,2.66
2019,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,2.42
2020,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,2.43
2021,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,2.87
2022,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,404,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,3.27
2000,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.069
2001,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.06
2002,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.058
2003,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.048
2004,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.052
2005,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.055
2006,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.059
2007,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.055
2008,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.057
2009,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.066
2010,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.066
2011,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.063
2012,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.055
2013,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.057
2014,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.062
2015,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.064
2016,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.066
