Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,50.4
2005,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,49.6
2006,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,50.1
2007,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,48.3
2008,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,43.6
2009,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,43.8
2010,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,45.4
2011,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,42.9
2012,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,42.7
2013,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,43.0
2014,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,42.9
2015,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,40.7
2016,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,38.3
2017,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,38.1
2018,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,37.8
2019,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,37.2
2020,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,36.5
2021,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,35.6
2022,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,34.4
2023,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,34.2
2024,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,404,PT,2025-03-15T00:00:00,2024,34.4
