Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,UNIT_MEASURE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE,TIME_DETAIL,Value
2020,A,0,Mooring Name:  Kilifi bay | LATITUDE: -3.62 | LONGITUDE: 39.88,8.040,7.970,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C04,PH,Kilifi bay,2025-03-28T00:00:00,2024,7.935
2024,A,0,Mooring Name:  Kilifi bay | LATITUDE: -3.62 | LONGITUDE: 39.88,8.040,7.970,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C04,PH,Kilifi bay,2025-03-28T00:00:00,2024,8.005
2020,A,0,Mooring Name: Kuruwitu | LATITUDE: -3.812 | LONGITUDE: 39.837,8.430,8.170,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C05,PH,Kuruwitu,2025-03-28T00:00:00,2024,7.9
2021,A,0,Mooring Name: Kuruwitu | LATITUDE: -3.812 | LONGITUDE: 39.837,8.430,8.170,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C05,PH,Kuruwitu,2025-03-28T00:00:00,2024,7.99
2022,A,0,Mooring Name: Kuruwitu | LATITUDE: -3.812 | LONGITUDE: 39.837,8.430,8.170,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C05,PH,Kuruwitu,2025-03-28T00:00:00,2024,7.987
2024,A,0,Mooring Name: Kuruwitu | LATITUDE: -3.812 | LONGITUDE: 39.837,8.430,8.170,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C05,PH,Kuruwitu,2025-03-28T00:00:00,2024,8.3
2020,A,0,Mooring Name: Malindi | LATITUDE: -3.235 | LONGITUDE: 40.137,8.350,8.180,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C06,PH,Malindi,2025-03-28T00:00:00,2024,7.894
2021,A,0,Mooring Name: Malindi | LATITUDE: -3.235 | LONGITUDE: 40.137,8.350,8.180,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C06,PH,Malindi,2025-03-28T00:00:00,2024,8.024
2022,A,0,Mooring Name: Malindi | LATITUDE: -3.235 | LONGITUDE: 40.137,8.350,8.180,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C06,PH,Malindi,2025-03-28T00:00:00,2024,7.888
2023,A,0,Mooring Name: Malindi | LATITUDE: -3.235 | LONGITUDE: 40.137,8.350,8.180,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C06,PH,Malindi,2025-03-28T00:00:00,2024,7.99058
2024,A,0,Mooring Name: Malindi | LATITUDE: -3.235 | LONGITUDE: 40.137,8.350,8.180,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C06,PH,Malindi,2025-03-28T00:00:00,2024,8.265
2020,A,0,Mooring Name:  Nyali | LATITUDE: -4.06 | LONGITUDE: 39.72,7.903,7.894,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C07,PH,Nyali,2025-03-28T00:00:00,2020,7.898
2020,A,0,Mooring Name: Shimoni | LATITUDE: -4.665 | LONGITUDE: 39.344,8.049,7.918,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C08,PH,Shimoni,2025-03-28T00:00:00,2021,7.956
2021,A,0,Mooring Name: Shimoni | LATITUDE: -4.665 | LONGITUDE: 39.344,8.049,7.918,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C08,PH,Shimoni,2025-03-28T00:00:00,2021,7.997
2021,A,0,Mooring Name: Kilifi | LATITUDE: -3.620 | LONGITUDE: 39.884,8.06667,7.36,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C09,PH,Kilifi,2025-03-28T00:00:00,2023,7.963
2022,A,0,Mooring Name: Kilifi | LATITUDE: -3.620 | LONGITUDE: 39.884,8.06667,7.36,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C09,PH,Kilifi,2025-03-28T00:00:00,2023,7.918
2023,A,0,Mooring Name: Kilifi | LATITUDE: -3.620 | LONGITUDE: 39.884,8.06667,7.36,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C09,PH,Kilifi,2025-03-28T00:00:00,2023,7.80111
