Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,ILO estimates based on national sources,SI_COV_BENFTS,404,None,None,None,PT,2025-03-15T00:00:00,2021,10.37
2019,A,0,ILO estimates based on national sources,SI_COV_BENFTS,404,None,None,None,PT,2025-03-15T00:00:00,2021,10.1
2021,A,0,ILO estimates based on national sources,SI_COV_BENFTS,404,None,None,None,PT,2025-03-15T00:00:00,2021,9.0
2015,A,0,ILO estimates based on national sources,SI_COV_CHLD,404,None,Y0T14,None,PT,2025-03-15T00:00:00,2021,8.14
2019,A,0,ILO estimates based on national sources,SI_COV_CHLD,404,None,Y0T14,None,PT,2025-03-15T00:00:00,2021,3.6
2021,A,0,ILO estimates based on national sources,SI_COV_CHLD,404,None,Y0T14,None,PT,2025-03-15T00:00:00,2021,3.22
2019,A,0,ILO estimates based on national sources,SI_COV_DISAB,404,None,None,None,PT,2025-03-15T00:00:00,2021,0.2
2021,A,0,ILO estimates based on national sources,SI_COV_DISAB,404,None,None,None,PT,2025-03-15T00:00:00,2021,2.37
2021,A,0,ILO estimates based on national sources,SI_COV_DISAB,404,F,None,None,PT,2025-03-15T00:00:00,2021,0.83
2021,A,0,ILO estimates based on national sources,SI_COV_DISAB,404,M,None,None,PT,2025-03-15T00:00:00,2021,3.39
2019,A,0,ILO estimates based on national sources,SI_COV_MATNL,404,F,Y15T49,None,PT,2025-03-15T00:00:00,2019,6.34
2000,A,0,ILO estimates based on national sources,SI_COV_PENSN,404,None,Y_GE65,None,PT,2025-03-15T00:00:00,2021,1.0
2015,A,0,ILO estimates based on national sources,SI_COV_PENSN,404,None,Y_GE65,None,PT,2025-03-15T00:00:00,2021,24.85
2019,A,0,ILO estimates based on national sources,SI_COV_PENSN,404,None,Y_GE65,None,PT,2025-03-15T00:00:00,2021,13.2
2021,A,0,ILO estimates based on national sources,SI_COV_PENSN,404,None,Y_GE65,None,PT,2025-03-15T00:00:00,2021,19.76
2019,A,0,ILO estimates based on national sources,SI_COV_POOR,404,None,None,None,PT,2025-03-15T00:00:00,2021,2.5
