Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,"Ministry of Environment, Climate Change and Forestry",SG_HAZ_CMRBASEL,404,PT,2025-03-21T00:00:00,2020-2024,17.0
2020,A,0,"Ministry of Environment, Climate Change and Forestry",SG_HAZ_CMRBASEL,404,PT,2025-03-21T00:00:00,2020-2024,20.0
2025,A,0,"Ministry of Environment, Climate Change and Forestry",SG_HAZ_CMRBASEL,404,PT,2025-03-21T00:00:00,2020-2024,60.0
2025,A,0,Ministry of Environment and Forestry,SG_HAZ_CMRMNMT,404,PT,2025-03-25T00:00:00,2020-2024,33.33
2015,A,0,"NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY",SG_HAZ_CMRMNTRL,404,PT,2025-03-21T00:00:00,2020-2024,100.0
2020,A,0,"NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY",SG_HAZ_CMRMNTRL,404,PT,2025-03-21T00:00:00,2020-2024,100.0
2025,A,0,"NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY",SG_HAZ_CMRMNTRL,404,PT,2025-03-21T00:00:00,2020-2024,90.0
2015,A,0,"Ministry of Environment, Climate Change and Forestry",SG_HAZ_CMRROTDAM,404,PT,2025-03-21T00:00:00,2020-2024,63.0
2020,A,0,"Ministry of Environment, Climate Change and Forestry",SG_HAZ_CMRROTDAM,404,PT,2025-03-21T00:00:00,2020-2024,57.0
2025,A,0,"Ministry of Environment, Climate Change and Forestry",SG_HAZ_CMRROTDAM,404,PT,2025-03-21T00:00:00,2020-2024,68.85
2015,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,404,PT,2025-03-21T00:00:00,2020-2024,83.0
2020,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,404,PT,2025-03-21T00:00:00,2020-2024,50.0
2025,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,404,PT,2025-03-21T00:00:00,2020-2024,60.0
