Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,Mandera County could not be visited due to insecurity,DHS 2022,SG_REG_BRTH,404,M12T23,PT,2025-03-24T00:00:00,2022,76.2
2022,A,0,Mandera County could not be visited due to insecurity,DHS 2022,SG_REG_BRTH,404,M24T35,PT,2025-03-24T00:00:00,2022,76.6
2022,A,0,Mandera County could not be visited due to insecurity,DHS 2022,SG_REG_BRTH,404,M36T47,PT,2025-03-24T00:00:00,2022,78.0
2022,A,0,Mandera County could not be visited due to insecurity,DHS 2022,SG_REG_BRTH,404,M48T59,PT,2025-03-24T00:00:00,2022,75.3
2022,A,0,Mandera County could not be visited due to insecurity,DHS 2022,SG_REG_BRTH,404,Y0,PT,2025-03-24T00:00:00,2022,73.7
2022,A,0,Mandera County could not be visited due to insecurity,DHS 2022,SG_REG_BRTH,404,Y0T4,PT,2025-03-24T00:00:00,2022,76.0
