From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
BASE_PER,COMMENT_OBS
TIME_DETAIL,BASE_PER
SOURCE_DETAIL,REF_AREA
REF_AREA,SEX
SEX,AGE
AGE,URBANISATION
URBANISATION,TIME_DETAIL
