From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
UPPER_BOUND,LOWER_BOUND
TIME_DETAIL,UPPER_BOUND
SOURCE_DETAIL,REF_AREA
REF_AREA,CUST_BREAKDOWN
CUST_BREAKDOWN,CUST_BREAKDOWN_LB
CUST_BREAKDOWN_LB,TIME_DETAIL
