From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
UPPER_BOUND,LOWER_BOUND
TIME_DETAIL,UPPER_BOUND
SOURCE_DETAIL,REF_AREA
REF_AREA,SEX
SEX,AGE
AGE,URBANISATION
URBANISATION,INCOME_WEALTH_QUANTILE
INCOME_WEALTH_QUANTILE,TIME_DETAIL
TIME_DETAIL,COMMENT_OBS
