Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.34
2010,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.2
2011,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.0
2012,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.0
2013,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.0
2014,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.4
2015,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.0
2016,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.0
2017,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,12.38
2018,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,2.49
2019,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,1.11
2020,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.06
2021,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.07
2022,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.01
2023,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_BIOENERGY,CON_USD,2025-03-14T00:00:00,2023,0.0
2000,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.04
2001,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.0
2002,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.0
2003,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.0
2004,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,45.41
2005,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,45.06
2006,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.0
2007,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.0
2008,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.0
2009,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,28.67
2010,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,674.4
2011,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,403.8
2012,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,1.95
2013,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.0
2014,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,101.45
2015,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,0.0
2016,A,6,2022,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",EG_IFF_RANDN,404,TRT_GEOTHERMAL,CON_USD,2025-03-14T00:00:00,2023,414.6
