Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2.3,1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.7
2005,A,0,2.3,1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.8
2010,A,0,2.3,1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.6
2015,A,0,2.3,1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.6
2019,A,0,2.3,1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.7
2020,A,0,2.3,1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.6
2021,A,0,2.3,1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.5
2000,A,0,1.6,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,F,PER_100000_POP,2025-03-06T00:00:00,2021,1.2
2005,A,0,1.6,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,F,PER_100000_POP,2025-03-06T00:00:00,2021,1.1
2010,A,0,1.6,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,F,PER_100000_POP,2025-03-06T00:00:00,2021,1.1
2015,A,0,1.6,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,F,PER_100000_POP,2025-03-06T00:00:00,2021,1.2
2019,A,0,1.6,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,F,PER_100000_POP,2025-03-06T00:00:00,2021,1.1
2020,A,0,1.6,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,F,PER_100000_POP,2025-03-06T00:00:00,2021,1.1
2021,A,0,1.6,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,F,PER_100000_POP,2025-03-06T00:00:00,2021,1.0
2000,A,0,3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,M,PER_100000_POP,2025-03-06T00:00:00,2021,2.1
2005,A,0,3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,M,PER_100000_POP,2025-03-06T00:00:00,2021,2.5
2010,A,0,3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,M,PER_100000_POP,2025-03-06T00:00:00,2021,2.1
2015,A,0,3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,M,PER_100000_POP,2025-03-06T00:00:00,2021,2.0
2019,A,0,3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,M,PER_100000_POP,2025-03-06T00:00:00,2021,2.3
2020,A,0,3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,M,PER_100000_POP,2025-03-06T00:00:00,2021,2.2
2021,A,0,3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,404,M,PER_100000_POP,2025-03-06T00:00:00,2021,1.9
