Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2020,A,0,"Estimations based on questions: Q84A, Q84B, Q84C","Afrobarometer, Round 8",VC_VOV_GDSD,404,GRD_ETH,PT,2025-05-07T00:00:00,2020,30.2
2020,A,0,"Estimations based on questions: Q84A, Q84B, Q84C","Afrobarometer, Round 8",VC_VOV_GDSD,404,GRD_RELIGION,PT,2025-05-07T00:00:00,2020,19.6
2020,A,0,"Estimations based on questions: Q84A, Q84B, Q84C","Afrobarometer, Round 8",VC_VOV_GDSD,404,GRD_SOCIOECON,PT,2025-05-07T00:00:00,2020,39.2
