Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,404,NUMBER,2025-04-04T00:00:00,2022,2
2016,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,404,NUMBER,2025-04-04T00:00:00,2022,6
2017,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,404,NUMBER,2025-04-04T00:00:00,2022,5
2018,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,404,NUMBER,2025-04-04T00:00:00,2022,4
2019,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,404,NUMBER,2025-04-04T00:00:00,2022,3
2022,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,404,NUMBER,2025-04-04T00:00:00,2022,2
