Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPD,404,M,Y45T54,R,PT,2025-12-09T00:00:00,2021,3.63208
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPD,404,M,Y45T54,U,PT,2025-12-09T00:00:00,2021,3.54458
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPD,404,M,Y55T64,None,PT,2025-12-09T00:00:00,2021,3.19
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPD,404,M,Y55T64,R,PT,2025-12-09T00:00:00,2021,3.38833
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPD,404,M,Y55T64,U,PT,2025-12-09T00:00:00,2021,2.59833
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y_GE15,None,PT,2025-12-09T00:00:00,2021,2.39917
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y_GE15,R,PT,2025-12-09T00:00:00,2021,2.04833
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y_GE15,U,PT,2025-12-09T00:00:00,2021,3.0075
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y_GE65,None,PT,2025-12-09T00:00:00,2021,0.67542
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y_GE65,R,PT,2025-12-09T00:00:00,2021,0.70167
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y_GE65,U,PT,2025-12-09T00:00:00,2021,0.52667
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y15T24,None,PT,2025-12-09T00:00:00,2021,2.52333
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y15T24,R,PT,2025-12-09T00:00:00,2021,2.27708
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y15T24,U,PT,2025-12-09T00:00:00,2021,2.8625
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y25T44,None,PT,2025-12-09T00:00:00,2021,3.35583
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y25T44,R,PT,2025-12-09T00:00:00,2021,3.02333
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y25T44,U,PT,2025-12-09T00:00:00,2021,3.78958
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y45T54,None,PT,2025-12-09T00:00:00,2021,1.00208
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y45T54,R,PT,2025-12-09T00:00:00,2021,1.00792
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y45T54,U,PT,2025-12-09T00:00:00,2021,0.98667
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y55T64,None,PT,2025-12-09T00:00:00,2021,0.70958
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y55T64,R,PT,2025-12-09T00:00:00,2021,0.71875
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,F,Y55T64,U,PT,2025-12-09T00:00:00,2021,0.67708
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y_GE15,None,PT,2025-12-09T00:00:00,2021,0.36375
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y_GE15,R,PT,2025-12-09T00:00:00,2021,0.33042
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y_GE15,U,PT,2025-12-09T00:00:00,2021,0.42125
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y_GE65,None,PT,2025-12-09T00:00:00,2021,0.39792
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y_GE65,R,PT,2025-12-09T00:00:00,2021,0.37833
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y_GE65,U,PT,2025-12-09T00:00:00,2021,0.5075
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y15T24,None,PT,2025-12-09T00:00:00,2021,0.1375
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y15T24,R,PT,2025-12-09T00:00:00,2021,0.15667
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y15T24,U,PT,2025-12-09T00:00:00,2021,0.09708
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y25T44,None,PT,2025-12-09T00:00:00,2021,0.49792
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y25T44,R,PT,2025-12-09T00:00:00,2021,0.40542
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y25T44,U,PT,2025-12-09T00:00:00,2021,0.61042
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y45T54,None,PT,2025-12-09T00:00:00,2021,0.34083
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y45T54,R,PT,2025-12-09T00:00:00,2021,0.40208
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y45T54,U,PT,2025-12-09T00:00:00,2021,0.22625
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y55T64,None,PT,2025-12-09T00:00:00,2021,0.25917
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y55T64,R,PT,2025-12-09T00:00:00,2021,0.32
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDCW,404,M,Y55T64,U,PT,2025-12-09T00:00:00,2021,0.0775
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y_GE15,None,PT,2025-12-09T00:00:00,2021,16.29625
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y_GE15,R,PT,2025-12-09T00:00:00,2021,16.54708
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y_GE15,U,PT,2025-12-09T00:00:00,2021,15.86208
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y_GE65,None,PT,2025-12-09T00:00:00,2021,11.33917
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y_GE65,R,PT,2025-12-09T00:00:00,2021,11.5575
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y_GE65,U,PT,2025-12-09T00:00:00,2021,10.08667
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y15T24,None,PT,2025-12-09T00:00:00,2021,16.615
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y15T24,R,PT,2025-12-09T00:00:00,2021,16.62083
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y15T24,U,PT,2025-12-09T00:00:00,2021,16.6075
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y25T44,None,PT,2025-12-09T00:00:00,2021,17.60333
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y25T44,R,PT,2025-12-09T00:00:00,2021,18.5275
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y25T44,U,PT,2025-12-09T00:00:00,2021,16.39875
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y45T54,None,PT,2025-12-09T00:00:00,2021,15.3825
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y45T54,R,PT,2025-12-09T00:00:00,2021,15.89708
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y45T54,U,PT,2025-12-09T00:00:00,2021,14.03
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y55T64,None,PT,2025-12-09T00:00:00,2021,15.15333
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y55T64,R,PT,2025-12-09T00:00:00,2021,15.56417
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,F,Y55T64,U,PT,2025-12-09T00:00:00,2021,13.65083
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y_GE15,None,PT,2025-12-09T00:00:00,2021,3.2475
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y_GE15,R,PT,2025-12-09T00:00:00,2021,3.03875
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y_GE15,U,PT,2025-12-09T00:00:00,2021,3.61167
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y_GE65,None,PT,2025-12-09T00:00:00,2021,2.8725
