Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,"World Bank & CEQ Institute; based on data from: Integrated Household Budget Survey 2015-2016; pensions treated as deferred income; main welfare variable: consumption, both; it includes imputed rent for owner-occupied housing; it includes consumption from own-production.",World Bank (Collection agencies specified in footnote),SI_DST_FISP,404,FIS_POSTFIS_CON_INC,PT,2025-03-21T00:00:00,2015-16,42.8617
2016,A,0,"World Bank & CEQ Institute; based on data from: Integrated Household Budget Survey 2015-2016; pensions treated as deferred income; main welfare variable: consumption, both; it includes imputed rent for owner-occupied housing; it includes consumption from own-production.",World Bank (Collection agencies specified in footnote),SI_DST_FISP,404,FIS_POSTFIS_DIS_INC,PT,2025-03-21T00:00:00,2015-16,43.67419
2016,A,0,"World Bank & CEQ Institute; based on data from: Integrated Household Budget Survey 2015-2016; pensions treated as deferred income; main welfare variable: consumption, both; it includes imputed rent for owner-occupied housing; it includes consumption from own-production.",World Bank (Collection agencies specified in footnote),SI_DST_FISP,404,FIS_PREFIS_INC,PT,2025-03-21T00:00:00,2015-16,47.61594
