Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,62.51488
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,71.14844
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,74.13574
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,71.74884
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,71.69178
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,72.31447
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,70.78455
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,67.17323
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,65.74627
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,65.90909
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,None,PT,2025-03-26T00:00:00,2023,64.93578
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,57.94286
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,64.92766
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,64.33204
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,64.05549
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,67.76365
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,67.87194
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,65.61054
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,63.49641
