Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
1993,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.85642
1994,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.85606
1995,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.85528
1996,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.85366
1997,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.85124
1998,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.84916
1999,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.84574
2000,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.84231
2001,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.83905
2002,A,0,0.81872,0.71585,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,404,IX,2025-04-17T00:00:00,2024,0.83572
