Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",21.43
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",23.28
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",23.28
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",23.28
2000,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",8.0
2001,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",8.0
2002,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",8.0
2003,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2004,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2005,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2006,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2007,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2008,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",15.0
2009,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2010,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2011,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2012,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2013,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2014,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",67.0
2015,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",69.0
2016,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",69.0
2017,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",68.0
2018,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",76.0
2019,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",76.0
2020,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",76.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",75.0
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",75.0
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",81.0
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",81.0
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,404,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",81.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,404,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",347.0
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,404,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",350.0
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,404,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",348.0
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,404,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",348.0
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,404,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",348.0
