Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,OCCUPATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.38
2008,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.69
2009,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.71
2010,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.71
2011,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.77
2012,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.84
2013,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.93
2014,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.99
2018,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.6
2020,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.74
2021,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.98
2022,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,2.36
2023,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,2.89
2004,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,4.65
2008,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,3.59
2009,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,3.95
2010,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,7.13
2011,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,14.06
2012,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,14.07
2013,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,8.96
2014,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,9.41
2015,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,8.8
2016,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,10.56
2017,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,10.81
2018,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,11.93
2020,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,5.9
2021,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,6.5
2022,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,20.24
