Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2003,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,0.0
2004,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,0.0
2005,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,0.0
2006,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,424.211
2007,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,480.8779
2008,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,243.4239
2009,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,26.2168
2010,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,0.0
2011,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,5.3418
2012,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,400.8672
2013,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,586.0023
2014,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,864.9554
2015,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,0.0
2016,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,5.9652
2017,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,101.0554
2018,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,523.2333
2019,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,220.2
2020,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI_KD,404,CON_USD,2022-09-19T00:00:00,2020,2020,723.13
