Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,34.4
2001,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,33.5
2002,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,32.7
2003,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,31.9
2004,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,31.1
2005,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,30.4
2006,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,29.6
2007,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,29.0
2008,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,28.3
2009,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,27.8
2010,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,27.5
2011,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,27.2
2012,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,27.2
2013,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,27.3
2014,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,27.5
2015,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,27.8
2016,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,28.1
2017,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,28.5
2018,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,28.9
2019,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,29.3
2020,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,29.8
2021,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,30.5
2022,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,31.3
2023,A,0,55,13.9,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,32.2
2000,A,0,55.3,13,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM_NPRG,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,33.0
2001,A,0,55.3,13,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM_NPRG,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,32.1
2002,A,0,55.3,13,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM_NPRG,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,31.3
2003,A,0,55.3,13,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM_NPRG,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,30.5
2004,A,0,55.3,13,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM_NPRG,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,29.8
2005,A,0,55.3,13,WHO Global Health Observatory (https://www.who.int/data/gho/),SH_STA_ANEM_NPRG,404,F,Y15T49,PT,2025-03-25T00:00:00,2023,29.0
