Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2020,A,0,AMR Surveillance National Coordinating Center,SH_BLD_ECOLI,404,PT,2025-05-28T00:00:00,Q1 2022 - Q4 2022,"Since 2021, proportions are only considered for countries, territories and areas reporting ≥ 10 bacteriologically confirmed bloodstream infections with antimicrobial susceptibility test results in one calendar year.",0.0
2021,A,0,AMR Surveillance National Coordinating Center,SH_BLD_ECOLI,404,PT,2025-05-28T00:00:00,Q1 2022 - Q4 2022,"Since 2021, proportions are only considered for countries, territories and areas reporting ≥ 10 bacteriologically confirmed bloodstream infections with antimicrobial susceptibility test results in one calendar year.",78.04878
2022,A,0,AMR Surveillance National Coordinating Center,SH_BLD_ECOLI,404,PT,2025-05-28T00:00:00,Q1 2022 - Q4 2022,"Since 2021, proportions are only considered for countries, territories and areas reporting ≥ 10 bacteriologically confirmed bloodstream infections with antimicrobial susceptibility test results in one calendar year.",63.63636
2020,A,0,AMR Surveillance National Coordinating Center,SH_BLD_MRSA,404,PT,2025-05-28T00:00:00,Q1 2022 - Q4 2022,"Since 2021, proportions are only considered for countries, territories and areas reporting ≥ 10 bacteriologically confirmed bloodstream infections with antimicrobial susceptibility test results in one calendar year.",25.0
2021,A,0,AMR Surveillance National Coordinating Center,SH_BLD_MRSA,404,PT,2025-05-28T00:00:00,Q1 2022 - Q4 2022,"Since 2021, proportions are only considered for countries, territories and areas reporting ≥ 10 bacteriologically confirmed bloodstream infections with antimicrobial susceptibility test results in one calendar year.",44.11765
2022,A,0,AMR Surveillance National Coordinating Center,SH_BLD_MRSA,404,PT,2025-05-28T00:00:00,Q1 2022 - Q4 2022,"Since 2021, proportions are only considered for countries, territories and areas reporting ≥ 10 bacteriologically confirmed bloodstream infections with antimicrobial susceptibility test results in one calendar year.",21.42857
