Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2016,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,54.0
2017,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,54.0
2018,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,54.0
2019,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,54.0
2020,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,54.0
2021,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,54.0
2022,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,56.0
2023,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,56.0
2024,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,56.0
2025,E,0,Ministry of Livestock Development,ER_GRF_ANIMKPT_TRB,404,NUMBER,2025-09-18T00:00:00,2025,,56.0
2020,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2021,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2022,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2023,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2024,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2025,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2020,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN_TRB,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2021,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN_TRB,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2022,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN_TRB,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
